,CMPLNT_FR_DT,month,Group_Count
0,01/01/2016,1,16
1,01/02/2016,1,2
2,01/03/2016,1,3
3,01/04/2016,1,3
4,01/05/2016,1,7
5,01/06/2016,1,2
6,01/07/2016,1,5
7,01/08/2016,1,1
8,01/09/2016,1,1
9,01/10/2016,1,2
10,01/11/2016,1,5
11,01/13/2016,1,1
12,01/14/2016,1,1
13,01/15/2016,1,6
14,01/16/2016,1,4
15,01/18/2016,1,2
16,01/19/2016,1,1
17,01/20/2016,1,2
18,01/21/2016,1,2
19,01/22/2016,1,2
20,01/23/2016,1,3
21,01/24/2016,1,2
22,01/25/2016,1,1
23,01/26/2016,1,2
24,01/27/2016,1,3
25,01/29/2016,1,1
26,01/30/2016,1,3
27,02/01/2016,2,8
28,02/02/2016,2,1
29,02/03/2016,2,2
30,02/04/2016,2,3
31,02/10/2016,2,1
32,02/11/2016,2,3
33,02/12/2016,2,2
34,02/13/2016,2,1
35,02/14/2016,2,1
36,02/15/2016,2,2
37,02/16/2016,2,1
38,02/17/2016,2,3
39,02/19/2016,2,1
40,02/20/2016,2,1
41,02/21/2016,2,1
42,02/23/2016,2,1
43,02/24/2016,2,1
44,02/25/2016,2,1
45,02/26/2016,2,1
46,02/29/2016,2,1
47,03/01/2016,3,8
48,03/03/2016,3,3
49,03/06/2016,3,2
50,03/07/2016,3,2
51,03/09/2016,3,3
52,03/10/2016,3,3
53,03/11/2016,3,2
54,03/12/2016,3,1
55,03/13/2016,3,1
56,03/14/2016,3,2
57,03/15/2016,3,1
58,03/16/2016,3,2
59,03/18/2016,3,2
60,03/19/2016,3,5
61,03/20/2016,3,1
62,03/21/2016,3,2
63,03/23/2016,3,1
64,03/24/2016,3,2
65,03/25/2016,3,1
66,03/26/2016,3,2
67,03/28/2016,3,1
68,03/30/2016,3,2
69,04/01/2016,4,11
70,04/04/2016,4,2
71,04/05/2016,4,3
72,04/06/2016,4,3
73,04/09/2016,4,2
74,04/10/2016,4,3
75,04/11/2016,4,1
76,04/12/2016,4,2
77,04/14/2016,4,2
78,04/15/2016,4,1
79,04/16/2016,4,4
80,04/17/2016,4,1
81,04/19/2016,4,3
82,04/20/2016,4,1
83,04/21/2016,4,3
84,04/22/2016,4,1
85,04/23/2016,4,1
86,04/25/2016,4,1
87,04/26/2016,4,1
88,04/28/2016,4,1
89,04/29/2016,4,3
90,05/01/2016,5,12
91,05/02/2016,5,2
92,05/04/2016,5,1
93,05/05/2016,5,1
94,05/06/2016,5,5
95,05/07/2016,5,1
96,05/09/2016,5,1
97,05/10/2016,5,2
98,05/11/2016,5,3
99,05/12/2016,5,2
100,05/14/2016,5,2
101,05/15/2016,5,4
102,05/16/2016,5,2
103,05/18/2016,5,3
104,05/21/2016,5,2
105,05/22/2016,5,2
106,05/23/2016,5,3
107,05/24/2016,5,2
108,05/25/2016,5,5
109,05/27/2016,5,1
110,05/28/2016,5,2
111,05/29/2016,5,3
112,05/31/2016,5,1
113,06/01/2016,6,25
114,06/02/2016,6,4
115,06/03/2016,6,1
116,06/04/2016,6,4
117,06/05/2016,6,1
118,06/06/2016,6,5
119,06/07/2016,6,1
120,06/08/2016,6,4
121,06/09/2016,6,2
122,06/10/2016,6,1
123,06/11/2016,6,2
124,06/12/2016,6,1
125,06/13/2016,6,3
126,06/14/2016,6,2
127,06/15/2016,6,7
128,06/16/2016,6,5
129,06/17/2016,6,5
130,06/18/2016,6,3
131,06/19/2016,6,3
132,06/20/2016,6,1
133,06/21/2016,6,2
134,06/23/2016,6,2
135,06/24/2016,6,2
136,06/25/2016,6,2
137,06/26/2016,6,5
138,06/28/2016,6,5
139,06/29/2016,6,2
140,06/30/2016,6,6
141,07/01/2016,7,21
142,07/02/2016,7,3
143,07/03/2016,7,2
144,07/04/2016,7,3
145,07/05/2016,7,2
146,07/07/2016,7,5
147,07/08/2016,7,2
148,07/09/2016,7,1
149,07/10/2016,7,2
150,07/11/2016,7,5
151,07/13/2016,7,1
152,07/14/2016,7,4
153,07/15/2016,7,6
154,07/16/2016,7,4
155,07/17/2016,7,1
156,07/18/2016,7,3
157,07/19/2016,7,4
158,07/20/2016,7,6
159,07/21/2016,7,8
160,07/22/2016,7,3
161,07/23/2016,7,2
162,07/24/2016,7,1
163,07/25/2016,7,1
164,07/26/2016,7,6
165,07/27/2016,7,5
166,07/28/2016,7,2
167,07/29/2016,7,3
168,07/31/2016,7,4
169,08/01/2016,8,19
170,08/02/2016,8,2
171,08/03/2016,8,5
172,08/05/2016,8,2
173,08/06/2016,8,4
174,08/07/2016,8,6
175,08/08/2016,8,4
176,08/09/2016,8,5
177,08/10/2016,8,2
178,08/11/2016,8,6
179,08/12/2016,8,1
180,08/13/2016,8,1
181,08/14/2016,8,1
182,08/15/2016,8,6
183,08/16/2016,8,2
184,08/17/2016,8,5
185,08/18/2016,8,4
186,08/19/2016,8,2
187,08/20/2016,8,5
188,08/21/2016,8,1
189,08/22/2016,8,1
190,08/23/2016,8,2
191,08/24/2016,8,5
192,08/25/2016,8,9
193,08/26/2016,8,5
194,08/27/2016,8,1
195,08/28/2016,8,1
196,08/29/2016,8,2
197,08/30/2016,8,6
198,08/31/2016,8,1
199,09/01/2016,9,18
200,09/02/2016,9,10
201,09/03/2016,9,5
202,09/04/2016,9,3
203,09/05/2016,9,4
204,09/06/2016,9,2
205,09/07/2016,9,3
206,09/08/2016,9,3
207,09/09/2016,9,6
208,09/10/2016,9,2
209,09/11/2016,9,2
210,09/12/2016,9,6
211,09/13/2016,9,3
212,09/14/2016,9,2
213,09/15/2016,9,6
214,09/16/2016,9,5
215,09/17/2016,9,1
216,09/18/2016,9,1
217,09/19/2016,9,5
218,09/20/2016,9,9
219,09/21/2016,9,5
220,09/22/2016,9,5
221,09/23/2016,9,1
222,09/24/2016,9,3
223,09/25/2016,9,1
224,09/26/2016,9,4
225,09/27/2016,9,5
226,09/28/2016,9,2
227,09/29/2016,9,5
228,09/30/2016,9,4
229,10/01/2016,10,29
230,10/02/2016,10,4
231,10/03/2016,10,8
232,10/04/2016,10,5
233,10/05/2016,10,6
234,10/06/2016,10,4
235,10/07/2016,10,4
236,10/08/2016,10,2
237,10/09/2016,10,5
238,10/10/2016,10,5
239,10/11/2016,10,4
240,10/12/2016,10,7
241,10/13/2016,10,4
242,10/14/2016,10,6
243,10/15/2016,10,12
244,10/16/2016,10,1
245,10/17/2016,10,7
246,10/18/2016,10,9
247,10/19/2016,10,5
248,10/20/2016,10,6
249,10/21/2016,10,6
250,10/22/2016,10,1
251,10/23/2016,10,3
252,10/24/2016,10,10
253,10/25/2016,10,6
254,10/26/2016,10,6
255,10/27/2016,10,10
256,10/28/2016,10,10
257,10/29/2016,10,5
258,10/30/2016,10,10
259,10/31/2016,10,9
260,11/01/2016,11,39
261,11/02/2016,11,9
262,11/03/2016,11,7
263,11/04/2016,11,11
264,11/05/2016,11,6
265,11/06/2016,11,4
266,11/07/2016,11,13
267,11/08/2016,11,9
268,11/09/2016,11,8
269,11/10/2016,11,17
270,11/11/2016,11,4
271,11/12/2016,11,5
272,11/13/2016,11,5
273,11/14/2016,11,7
274,11/15/2016,11,14
275,11/16/2016,11,7
276,11/17/2016,11,4
277,11/18/2016,11,7
278,11/19/2016,11,5
279,11/20/2016,11,6
280,11/21/2016,11,7
281,11/22/2016,11,9
282,11/23/2016,11,11
283,11/24/2016,11,7
284,11/25/2016,11,15
285,11/26/2016,11,5
286,11/27/2016,11,9
287,11/28/2016,11,20
288,11/29/2016,11,6
289,11/30/2016,11,17
290,12/01/2016,12,50
291,12/02/2016,12,18
292,12/03/2016,12,25
293,12/04/2016,12,8
294,12/05/2016,12,18
295,12/06/2016,12,24
296,12/07/2016,12,18
297,12/08/2016,12,16
298,12/09/2016,12,28
299,12/10/2016,12,20
300,12/11/2016,12,15
301,12/12/2016,12,27
302,12/13/2016,12,12
303,12/14/2016,12,20
304,12/15/2016,12,34
305,12/16/2016,12,23
306,12/17/2016,12,16
307,12/18/2016,12,16
308,12/19/2016,12,37
309,12/20/2016,12,39
310,12/21/2016,12,45
311,12/22/2016,12,45
312,12/23/2016,12,52
313,12/24/2016,12,27
314,12/25/2016,12,23
315,12/26/2016,12,24
316,12/27/2016,12,38
317,12/28/2016,12,65
318,12/29/2016,12,56
319,12/30/2016,12,61
320,12/31/2016,12,110
